BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2458818.259565,0.98404,0.01760,1.7368,0.30,-0.56,8.23,24439
2458818.260283,1.00669,0.01798,1.7352,0.30,-1.72,8.82,19869
2458818.261000,0.98417,0.01761,1.7336,1.13,-0.52,8.60,22472
2458818.261718,1.03932,0.01716,1.7320,0.26,-0.57,7.00,28664
2458818.262424,1.01522,0.01776,1.7305,1.19,0.98,8.70,22014
2458818.263141,1.00324,0.01718,1.7290,0.64,-0.91,7.57,27159
2458818.263859,0.99570,0.01692,1.7276,0.77,-0.43,7.20,30408
2458818.265283,1.01637,0.01735,1.7250,0.46,0.25,8.02,25597
2458818.266000,1.01997,0.01727,1.7237,0.81,-0.17,7.66,24547
2458818.266706,0.98653,0.01737,1.7225,0.62,-0.69,8.12,24913
2458818.267424,1.00421,0.01701,1.7213,0.04,-0.93,7.72,26442
2458818.268141,1.00059,0.01737,1.7202,1.09,-0.35,8.00,23905
2458818.268847,1.01194,0.01708,1.7191,0.69,-0.28,7.37,26383
2458818.269565,0.98375,0.01688,1.7181,0.00,-0.42,7.12,30006
2458818.270283,1.02503,0.01717,1.7171,1.01,-0.67,7.97,25888
2458818.270989,1.02369,0.01678,1.7162,0.34,-0.13,7.41,28926
2458818.271706,0.99881,0.01701,1.7153,0.56,-0.72,7.51,28301
2458818.272424,1.00228,0.01700,1.7145,1.11,-0.73,7.76,27024
2458818.273142,1.00902,0.01719,1.7137,0.03,-0.87,8.33,25345
2458818.273848,1.02970,0.01728,1.7129,1.26,0.11,7.95,24389
2458818.274566,0.99631,0.01753,1.7122,0.28,-0.26,8.37,20586
2458818.275284,0.97124,0.01715,1.7116,-0.36,-1.34,7.77,24001
2458818.275990,1.02340,0.01750,1.7110,0.67,0.14,8.78,22155
2458818.276707,1.00000,0.01726,1.7104,1.15,-0.25,8.29,23259
2458818.277425,1.01497,0.01796,1.7099,-0.24,-0.36,8.93,20054
2458818.278131,1.02763,0.01789,1.7095,0.31,-0.52,9.03,19241
2458818.281707,1.00031,0.01796,1.7078,1.00,0.67,8.84,19890
2458818.282413,0.98998,0.01748,1.7076,-0.33,-0.30,7.89,22987
2458818.283837,0.99178,0.01798,1.7074,0.37,-1.18,8.87,20454
2458818.284554,1.00908,0.01799,1.7073,0.19,0.06,8.24,21105
2458818.285272,1.00275,0.01776,1.7073,0.14,0.01,8.24,21993
2458818.285978,0.98223,0.01799,1.7073,0.25,-0.62,8.99,19736
2458818.287414,0.95168,0.01795,1.7075,0.48,0.06,8.83,20667
2458818.288120,0.97037,0.01768,1.7077,0.77,-1.21,8.21,21934
2458818.288838,0.94930,0.01791,1.7079,0.77,0.31,8.34,21556
2458818.290979,0.99384,0.01788,1.7089,0.38,-0.27,8.40,21716
2458818.291697,0.95843,0.01761,1.7093,-0.31,-0.84,8.49,23828
2458818.292414,0.93137,0.01697,1.7097,0.33,0.28,7.91,28869
2458818.293132,0.95076,0.01703,1.7102,0.41,0.10,7.91,27257
2458818.293838,0.91019,0.01765,1.7107,-0.53,-0.32,7.73,23332
2458818.294555,0.88955,0.01738,1.7113,0.53,0.21,7.53,25787
2458818.295991,0.91373,0.01765,1.7126,-0.40,-0.72,8.90,21291
2458818.297426,0.90143,0.01800,1.7141,0.33,-0.24,8.53,21509
2458818.298132,0.93430,0.01790,1.7149,0.24,-0.30,7.88,23449
2458818.298849,0.89644,0.01762,1.7158,-0.35,1.28,8.47,24073
2458818.299567,0.94013,0.01753,1.7167,0.22,-0.49,8.16,24315
2458818.300992,0.90765,0.01787,1.7187,0.39,-0.38,8.33,24340
2458818.301709,0.88411,0.01746,1.7197,0.33,-0.02,8.07,25885
2458818.302415,0.91260,0.01777,1.7208,0.64,-0.00,7.45,27152
2458818.303133,0.88592,0.01788,1.7220,-1.20,-0.13,7.63,25434
2458818.303850,0.88903,0.01753,1.7232,-0.50,0.49,7.14,30370
2458818.304568,0.87724,0.01744,1.7244,-0.11,0.20,7.37,31609
2458818.305274,0.90257,0.01788,1.7257,-0.51,-0.32,7.80,26910
2458818.305992,0.88678,0.01759,1.7270,0.01,-0.26,7.29,30530
2458818.306709,0.89728,0.01743,1.7284,-0.28,0.65,7.38,30100
2458818.307415,0.87639,0.01739,1.7299,-0.03,0.36,6.92,32851
2458818.308133,0.87464,0.01736,1.7314,-0.12,0.39,6.93,36022
2458818.308850,0.91023,0.01826,1.7329,0.16,-0.08,7.60,25733
2458818.309568,0.88628,0.01746,1.7345,-0.15,-0.21,6.50,35271
2458818.310274,0.90496,0.01734,1.7361,-0.25,1.78,6.62,32086
2458818.310992,0.88939,0.01725,1.7378,-0.52,-0.33,6.76,32136
2458818.311709,0.91050,0.01740,1.7395,-0.50,-0.19,7.14,32122
2458818.312427,0.88865,0.01732,1.7413,-0.32,1.22,7.98,28950
2458818.313133,0.88781,0.01704,1.7431,-0.72,-0.08,6.76,36361
2458818.313850,0.92436,0.01724,1.7450,-0.59,-0.14,7.02,31651
2458818.314569,0.88688,0.01693,1.7470,-0.45,0.51,6.71,33943
2458818.315275,0.89726,0.01731,1.7489,0.14,0.61,7.69,28811
2458818.315993,0.90420,0.01739,1.7510,-0.65,-0.14,7.25,29927
2458818.316710,0.90163,0.01722,1.7531,-1.38,0.44,6.51,36047
2458818.317428,0.94405,0.01727,1.7552,-0.42,0.00,6.92,34151
2458818.318134,0.89731,0.01731,1.7574,-0.37,0.72,7.41,33890
2458818.318851,0.91162,0.01756,1.7596,-0.19,0.66,7.10,30413
2458818.319569,0.89461,0.01768,1.7620,-0.97,-0.07,7.56,29091
2458818.320287,0.92972,0.01757,1.7643,-0.48,1.65,7.47,28225
2458818.320993,0.93328,0.01749,1.7667,-0.45,0.73,7.57,28460
