BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2458818.303121,0.89787,0.00282,1.7220,-0.84,0.02,9.58,26801
2458818.303839,0.90409,0.00277,1.7232,-0.15,0.46,8.50,34732
2458818.304545,0.89744,0.00275,1.7244,-0.02,0.31,9.20,33564
2458818.305262,0.89866,0.00279,1.7257,-0.23,-0.62,8.34,33046
2458818.305980,0.89754,0.00278,1.7270,0.60,-0.09,9.50,31251
2458818.306698,0.89541,0.00280,1.7284,0.05,0.77,8.78,34104
2458818.307404,0.89668,0.00277,1.7298,0.23,-0.04,8.05,38978
2458818.308121,0.89624,0.00276,1.7313,0.08,0.32,8.47,40363
2458818.308839,0.89896,0.00284,1.7329,0.52,-0.25,9.29,29138
2458818.309545,0.89627,0.00276,1.7344,0.31,-0.26,8.17,39175
2458818.310262,0.90004,0.00279,1.7361,-0.03,1.65,7.59,39427
2458818.310980,0.89491,0.00279,1.7378,-0.23,-0.18,9.00,34300
2458818.311686,0.89949,0.00277,1.7395,-0.12,-0.56,9.15,33405
2458818.312404,0.90068,0.00278,1.7413,0.06,1.42,8.74,33165
2458818.313121,0.90299,0.00276,1.7431,-0.09,-0.15,8.26,40251
2458818.313839,0.89928,0.00277,1.7450,-0.34,-0.16,8.15,36404
2458818.314557,0.90104,0.00276,1.7469,0.28,-0.03,7.61,36059
2458818.315263,0.90236,0.00283,1.7489,0.79,0.33,9.82,30322
2458818.315981,0.89712,0.00279,1.7509,0.15,-0.01,8.98,35370
2458818.316699,0.89886,0.00277,1.7530,-0.42,0.69,9.21,36404
2458818.317405,0.90945,0.00283,1.7551,0.30,-0.37,9.21,34370
2458818.318122,0.90589,0.00278,1.7574,-0.06,0.90,8.87,39247
2458818.318840,0.90384,0.00281,1.7596,0.22,0.69,8.62,33989
2458818.319557,0.91083,0.00283,1.7619,-0.12,-0.07,8.71,32533
2458818.320263,0.91642,0.00282,1.7642,0.16,1.57,8.03,34935
2458818.320981,0.91840,0.00281,1.7667,0.17,0.58,9.43,31330
2458818.321699,0.92293,0.00285,1.7691,-0.42,0.29,8.76,30952
2458818.322405,0.93203,0.00286,1.7716,0.14,0.18,7.84,36018
2458818.323122,0.93081,0.00287,1.7742,-0.67,0.19,8.30,35473
2458818.323840,0.93883,0.00285,1.7768,0.22,0.14,8.49,38411
2458818.324557,0.94278,0.00284,1.7795,0.10,0.26,8.67,37034
2458818.325275,0.95397,0.00290,1.7823,0.24,0.17,8.57,34527
2458818.325993,0.95919,0.00289,1.7851,0.26,0.76,8.55,39053
2458818.326699,0.96827,0.00290,1.7879,-0.09,0.90,8.89,36150
2458818.327416,0.96943,0.00292,1.7908,-0.41,0.15,8.43,36736
2458818.328134,0.98168,0.00294,1.7938,0.17,0.72,7.82,35118
2458818.328852,0.98032,0.00290,1.7968,0.48,-0.38,8.71,35026
2458818.329558,0.98599,0.00290,1.7999,-0.38,0.84,8.18,37815
2458818.330276,0.99056,0.00297,1.8031,0.01,0.70,8.92,32938
2458818.330994,0.99573,0.00298,1.8063,0.12,-0.01,8.95,33131
2458818.331700,1.00101,0.00297,1.8095,0.41,0.53,7.86,39557
2458818.332417,0.99950,0.00300,1.8128,0.05,0.69,9.45,31676
2458818.333135,1.00141,0.00302,1.8162,0.00,0.14,9.48,30547
2458818.333852,1.00064,0.00303,1.8197,0.37,1.88,8.87,29235
2458818.334558,0.99719,0.00300,1.8232,-0.52,-0.28,8.91,31296
2458818.335276,1.00457,0.00304,1.8268,-0.08,0.92,9.31,27315
2458818.335994,0.99964,0.00308,1.8304,0.40,0.85,9.30,27281
2458818.336700,1.00455,0.00303,1.8341,0.44,-0.09,8.56,30441
2458818.337417,0.99928,0.00305,1.8379,-0.17,0.45,8.86,28322
2458818.338135,0.99766,0.00307,1.8417,0.19,0.35,9.57,28733
2458818.338841,1.00107,0.00309,1.8456,0.01,0.30,8.90,29783
2458818.339558,1.00220,0.00309,1.8496,0.30,1.19,9.50,26618
2458818.340276,0.99719,0.00312,1.8536,-0.19,0.51,8.68,28359
2458818.340982,1.00388,0.00303,1.8577,-0.12,0.42,8.79,29298
2458818.341700,0.99907,0.00302,1.8619,0.66,0.46,9.29,28772
2458818.342418,1.00354,0.00303,1.8661,-0.20,0.72,8.49,31272
2458818.343124,1.00511,0.00310,1.8704,0.00,0.63,9.59,26788
2458818.343842,1.00142,0.00305,1.8748,-0.29,0.88,9.76,26665
2458818.344559,1.00021,0.00304,1.8793,0.01,0.15,9.10,30954
2458818.345265,1.00054,0.00310,1.8837,0.76,1.21,9.17,28310
2458818.345983,1.00282,0.00308,1.8884,0.28,0.13,9.23,29517
2458818.346701,0.99471,0.00307,1.8931,-0.13,0.87,8.83,28634
2458818.347407,1.00058,0.00311,1.8978,0.39,0.05,9.68,27312
2458818.348124,1.00104,0.00307,1.9026,-0.13,0.80,8.37,36121
2458818.348842,0.99909,0.00312,1.9075,0.63,1.54,9.16,29226
2458818.349548,1.00276,0.00309,1.9125,0.15,0.98,9.66,28706
2458818.350265,1.00168,0.00314,1.9175,-0.39,0.98,9.80,24907
2458818.350983,1.00278,0.00311,1.9227,0.01,0.15,9.35,28608
2458818.351689,0.99935,0.00313,1.9279,0.62,0.41,8.52,31992
2458818.352407,0.99793,0.00314,1.9332,0.17,0.73,9.16,28564
2458818.353124,1.00229,0.00320,1.9386,0.38,1.11,9.43,25392
2458818.353830,0.99922,0.00318,1.9440,0.05,0.77,8.92,28504
2458818.354548,1.00232,0.00323,1.9496,0.67,0.94,9.59,23937
2458818.355265,0.99771,0.00320,1.9552,-0.70,-0.02,8.81,27437
2458818.355984,1.00206,0.00319,1.9610,-0.30,0.53,9.24,27122
2458818.356690,1.00148,0.00318,1.9667,0.21,0.60,9.67,26020
2458818.357408,0.99935,0.00321,1.9727,-0.56,0.54,9.29,26833
2458818.358125,1.00276,0.00319,1.9787,0.41,0.46,8.38,29039
2458818.358831,0.99286,0.00321,1.9847,0.09,0.83,9.50,24839
2458818.359549,1.00589,0.00320,1.9909,0.19,1.49,8.75,29823
2458818.360266,1.00243,0.00318,1.9972,0.89,0.94,8.59,29930
