BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2458818.336711,1.01109,0.00829,1.8342,0.56,0.21,6.53,43980
2458818.337197,1.00989,0.00827,1.8367,-0.53,0.42,6.72,37413
2458818.337683,1.02094,0.00824,1.8393,-0.86,-0.22,6.56,41314
2458818.338158,1.00483,0.00825,1.8418,0.04,-0.06,6.88,38978
2458818.338644,1.00912,0.00840,1.8445,-0.55,-0.14,6.62,41180
2458818.339130,1.00716,0.00829,1.8472,0.12,0.67,6.55,41754
2458818.339616,1.01257,0.00843,1.8499,-0.18,1.05,6.79,34358
2458818.340091,0.99372,0.00841,1.8526,-0.12,0.06,6.89,35177
2458818.340577,1.00473,0.00839,1.8553,-0.84,0.97,6.54,40288
2458818.341063,1.00372,0.00816,1.8581,-0.53,0.54,6.47,40910
2458818.341549,1.01080,0.00820,1.8610,0.53,0.40,6.60,42109
2458818.342025,1.01700,0.00840,1.8638,-0.30,1.14,6.76,38125
2458818.342511,1.01159,0.00827,1.8667,-0.18,0.50,6.13,43739
2458818.342997,1.00578,0.00839,1.8696,-0.20,0.53,7.01,35986
2458818.343483,1.02162,0.00855,1.8726,-0.97,0.14,7.44,34210
2458818.343957,1.00482,0.00830,1.8755,-0.55,0.74,6.40,42283
2458818.344444,1.01226,0.00835,1.8785,-0.62,-0.05,6.39,41953
2458818.344930,1.00750,0.00840,1.8816,0.13,0.88,6.67,44325
2458818.345404,1.00911,0.00849,1.8846,-0.01,1.03,6.72,38877
2458818.345890,1.01794,0.00842,1.8878,-0.39,-0.27,6.96,39208
2458818.346376,1.00405,0.00840,1.8909,0.46,0.48,6.34,44647
2458818.346863,0.98895,0.00829,1.8941,-1.55,0.48,6.24,46133
2458818.347337,1.00525,0.00841,1.8973,0.34,-0.43,6.77,42159
2458818.347823,1.01530,0.00829,1.9006,-0.98,-0.56,6.43,45839
2458818.348309,1.00168,0.00835,1.9039,-0.70,0.90,6.04,49185
2458818.348795,1.02137,0.00842,1.9072,0.06,1.18,6.29,43231
2458818.349270,1.01447,0.00854,1.9105,0.30,1.41,6.99,36091
2458818.349756,0.99657,0.00839,1.9139,-0.74,0.87,6.69,42355
2458818.350242,1.01031,0.00861,1.9174,-0.81,0.97,7.23,33670
2458818.350728,1.01301,0.00840,1.9209,-0.17,0.46,6.22,46243
2458818.351203,1.00611,0.00846,1.9243,-0.94,-0.47,6.73,40478
2458818.351689,1.00273,0.00851,1.9279,0.10,0.38,6.41,42254
2458818.352175,1.01641,0.00849,1.9315,-0.48,0.17,6.31,44129
2458818.352650,0.97786,0.00871,1.9350,-0.37,0.76,6.64,37125
2458818.353136,1.00699,0.00866,1.9387,-0.10,0.89,6.62,36650
2458818.353622,1.01049,0.00861,1.9424,-0.44,1.06,6.42,39476
2458818.354108,0.98799,0.00874,1.9461,-0.86,0.13,7.81,32626
2458818.354582,1.00356,0.00881,1.9498,0.46,0.98,7.32,31719
2458818.355069,0.99473,0.00890,1.9537,-0.30,0.58,7.21,30322
2458818.355555,0.99431,0.00870,1.9575,-0.76,0.91,6.80,38541
2458818.356042,1.00568,0.00871,1.9615,-0.76,0.91,7.06,35795
2458818.356516,1.00625,0.00864,1.9653,-0.16,-0.04,6.84,36582
2458818.357002,1.00103,0.00882,1.9693,-0.44,2.03,7.03,33327
2458818.357489,1.00781,0.00864,1.9733,-1.23,-0.28,6.70,38014
2458818.357975,1.00765,0.00868,1.9774,0.65,0.51,6.20,41937
2458818.358449,0.99596,0.00893,1.9814,-0.93,0.78,6.99,33741
2458818.358935,1.01276,0.00897,1.9856,-0.09,0.35,7.21,31496
2458818.359421,1.00460,0.00881,1.9898,-0.18,1.62,6.54,39052
2458818.359908,1.00682,0.00885,1.9940,-0.74,0.57,6.88,36165
2458818.360382,0.99189,0.00883,1.9982,0.47,0.47,6.55,37643
